country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"FIN","AFG",1,3,3,3,9,1,0,"ASIA"
"FIN","AFG",1,3,3,3,6,4,0,"ASIA"
"AUS","AFG",1,3,3,3,7,12,0,"ASIA"
"FIN","AFG",1,3,3,3,5,2,0,"ASIA"
"CAN","AFG",1,3,3,1,3,260,0,"ASIA"
"GRC","AFG",1,3,3,1,3,1,0,"ASIA"
"FIN","AFG",1,3,4,1,8,1,0,"ASIA"
"DNK","AFG",1,3,3,1,1,12,0,"ASIA"
"MEX","AFG",1,3,3,3,3,1,0,"ASIA"
"CAN","AFG",1,3,3,3,7,50,0,"ASIA"
"IRL","AFG",1,3,3,3,99,3,0,"ASIA"
"CAN","AFG",1,3,3,3,5,225,0,"ASIA"
"HUN","AFG",1,3,34,3,6,2,0,"ASIA"
"SVK","AFG",1,3,3,1,6,7,0,"ASIA"
"FIN","AFG",1,3,3,2,2,5,0,"ASIA"
"DNK","AFG",1,3,3,1,6,2,0,"ASIA"
"NOR","AFG",1,3,3,1,4,9,0,"ASIA"
"SVK","AFG",1,3,4,1,5,1,0,"ASIA"
"CZE","AFG",1,3,4,1,7,1,0,"ASIA"
"DNK","AFG",1,3,3,2,4,1,0,"ASIA"
"FIN","AFG",1,3,3,1,8,1,0,"ASIA"
"NOR","AFG",1,3,3,3,99,1,0,"ASIA"
"NOR","AFG",1,3,3,1,3,7,0,"ASIA"
"CAN","AFG",1,3,4,1,6,20,0,"ASIA"
"DNK","AFG",1,3,3,3,8,246,0,"ASIA"
"AUS","AFG",1,3,3,2,7,7,0,"ASIA"
"CAN","AFG",1,3,4,2,8,10,0,"ASIA"
"CAN","AFG",1,3,4,3,4,25,0,"ASIA"
"CAN","AFG",1,3,3,3,6,150,0,"ASIA"
"AUS","AFG",1,3,3,3,99,38,0,"ASIA"
"DNK","AFG",1,3,3,2,1,3,0,"ASIA"
"NOR","AFRI",1,3,4,1,3,1,0,"AFRI"
"MEX","AFRI",1,3,4,1,8,1,0,"AFRI"
"AUT","AFRI",1,3,34,2,2,6,0,"AFRI"
"NZL","AFRI",1,3,4,3,4,9,0,"AFRI"
"NOR","AFRI",1,3,3,1,3,10,0,"AFRI"
"MEX","AFRI",1,3,3,1,3,6,0,"AFRI"
"NOR","AFRI",1,3,3,2,3,1,0,"AFRI"
"AUT","AFRI",1,3,34,1,4,112,0,"AFRI"
"MEX","AFRI",1,3,3,3,99,2,0,"AFRI"
"IRL","AFRI",1,3,3,1,1,27,0,"AFRI"
"AUT","AFRI",1,3,34,1,5,43,0,"AFRI"
"AUS","AFRI",1,3,3,2,99,17,0,"AFRI"
"AUS","AFRI",1,3,3,3,99,30,0,"AFRI"
"AUS","AFRI",1,3,3,3,2,35,0,"AFRI"
"NOR","AFRI",1,3,3,3,9,2,0,"AFRI"
"NOR","AFRI",1,3,3,1,2,12,0,"AFRI"
"NZL","AFRI",1,3,4,1,4,21,0,"AFRI"
"NZL","AFRI",1,3,3,3,4,15,0,"AFRI"
"NZL","AFRI",1,3,3,2,9,3,0,"AFRI"
"NZL","AFRI",1,3,3,2,6,6,0,"AFRI"
"NZL","AFRI",1,3,3,1,7,6,0,"AFRI"
"AUS","AFRI",1,3,4,3,7,8,0,"AFRI"
"NZL","AFRI",1,3,3,3,8,9,0,"AFRI"
"AUS","AFRI",1,3,4,3,3,16,0,"AFRI"
"NOR","AFRI",1,3,3,1,1,5,0,"AFRI"
"NZL","AFRI",1,3,4,3,8,3,0,"AFRI"
"IRL","AFRI",1,3,3,1,4,6,0,"AFRI"
"NZL","AFRI",1,3,4,3,7,3,0,"AFRI"
"AUS","AFRI",1,3,3,2,5,12,0,"AFRI"
"AUS","AFRI",1,3,3,1,2,21,0,"AFRI"
"AUT","AFRI",1,3,34,2,4,20,0,"AFRI"
"AUS","AFRI",1,3,4,1,6,20,0,"AFRI"
"MEX","AFRI",1,3,3,1,4,10,0,"AFRI"
"NOR","AFRI",1,3,4,1,5,1,0,"AFRI"
"AUT","AFRI",1,3,34,1,8,54,0,"AFRI"
"AUS","AFRI",1,3,4,1,7,14,0,"AFRI"
"AUS","AFRI",1,3,3,2,6,15,0,"AFRI"
"AUT","AFRI",1,3,34,3,5,24,0,"AFRI"
"NOR","AFRI",1,3,3,1,6,6,0,"AFRI"
"MEX","AFRI",1,3,3,1,2,6,0,"AFRI"
"IRL","AFRI",1,3,3,3,1,12,0,"AFRI"
"IRL","AFRI",1,3,3,1,8,12,0,"AFRI"
"AUS","AFRI",1,3,3,3,4,45,0,"AFRI"
"AUS","AFRI",1,3,3,1,4,9,0,"AFRI"
