country,coub,fborn,edu_lfs,edu_cen,dos_lfs,dos_cen,sex,number,reg_oecd,reg_regions
"FRA","AFG",1,1,1,3,5,2,96,0,"ASIA"
"NOR","AFG",1,99,99,3,5,1,16,0,"ASIA"
"NZL","AFG",1,3,3,3,5,2,3,0,"ASIA"
"ITA","AFG",1,3,3,2,4,2,1,0,"ASIA"
"AUS","AFG",1,1,1,1,2,2,248,0,"ASIA"
"DNK","AFG",1,2,2,3,6,2,20,0,"ASIA"
"NZL","AFG",1,99,99,1,1,2,18,0,"ASIA"
"FRA","AFG",1,1,1,1,3,1,8,0,"ASIA"
"DNK","AFG",1,99,99,3,5,2,37,0,"ASIA"
"USA","AFG",1,3,3,3,6,1,1435,0,"ASIA"
"CAN","AFG",1,1,1,3,5,1,610,0,"ASIA"
"SWE","AFG",1,3,4,1,3,1,10,0,"ASIA"
"BEL","AFG",1,1,1,1,1,2,6,0,"ASIA"
"ITA","AFG",1,1,1,3,6,1,2,0,"ASIA"
"GRC","AFG",1,3,4,99,99,2,1,0,"ASIA"
"DNK","AFG",1,1,1,1,3,1,83,0,"ASIA"
"FRA","AFG",1,2,2,1,1,2,30,0,"ASIA"
"ITA","AFG",1,1,1,99,99,2,10,0,"ASIA"
"NZL","AFG",1,99,99,1,3,1,3,0,"ASIA"
"ITA","AFG",1,1,1,1,3,1,2,0,"ASIA"
"IRL","AFG",1,1,1,1,3,1,3,0,"ASIA"
"DNK","AFG",1,2,2,1,2,2,106,0,"ASIA"
"BEL","AFG",1,99,99,99,99,2,8,0,"ASIA"
"USA","AFG",1,3,4,2,4,2,25,0,"ASIA"
"USA","AFG",1,3,4,1,2,1,15,0,"ASIA"
"IRL","AFG",1,1,1,99,99,2,12,0,"ASIA"
"CAN","AFG",1,3,4,3,6,1,20,0,"ASIA"
"NZL","AFG",1,1,1,99,99,1,3,0,"ASIA"
"IRL","AFG",1,2,2,3,6,2,3,0,"ASIA"
"FRA","AFG",1,1,1,1,3,2,28,0,"ASIA"
"DNK","AFG",1,3,3,1,1,2,29,0,"ASIA"
"DNK","AFG",1,3,3,1,2,1,223,0,"ASIA"
"SWE","AFG",1,99,99,1,3,2,140,0,"ASIA"
"SWE","AFG",1,3,4,3,5,1,5,0,"ASIA"
"NZL","AFG",1,1,1,2,4,1,6,0,"ASIA"
"CAN","AFG",1,2,2,99,99,2,50,0,"ASIA"
"NZL","AFG",1,99,99,1,2,1,21,0,"ASIA"
"CAN","AFG",1,1,1,1,1,2,185,0,"ASIA"
"USA","AFG",1,2,2,1,3,2,460,0,"ASIA"
"CAN","AFG",1,1,1,1,2,1,765,0,"ASIA"
"NZL","AFG",1,1,1,3,6,2,3,0,"ASIA"
"USA","AFG",1,1,1,2,4,2,1740,0,"ASIA"
"BEL","AFG",1,99,99,1,2,2,12,0,"ASIA"
"USA","AFG",1,1,1,1,1,2,469,0,"ASIA"
"SWE","AFG",1,3,3,3,6,1,10,0,"ASIA"
"FRA","AFG",1,1,1,3,6,2,17,0,"ASIA"
"NOR","AFG",1,3,4,3,5,1,3,0,"ASIA"
"USA","AFG",1,3,3,1,1,2,215,0,"ASIA"
"USA","AFG",1,1,1,3,6,1,280,0,"ASIA"
"SWE","AFG",1,3,3,1,3,2,50,0,"ASIA"
"BEL","AFG",1,3,3,1,2,1,17,0,"ASIA"
"USA","AFG",1,3,3,2,4,1,1229,0,"ASIA"
"DNK","AFG",1,2,2,1,3,2,58,0,"ASIA"
"DNK","AFG",1,3,3,1,3,2,36,0,"ASIA"
"SWE","AFG",1,2,2,1,1,2,35,0,"ASIA"
"IRL","AFG",1,3,3,2,4,1,6,0,"ASIA"
"ITA","AFG",1,2,2,99,99,1,10,0,"ASIA"
"USA","AFG",1,3,3,1,2,2,179,0,"ASIA"
"NZL","AFG",1,99,99,2,4,1,15,0,"ASIA"
"NOR","AFG",1,3,3,3,5,2,17,0,"ASIA"
"CAN","AFG",1,1,1,3,5,2,680,0,"ASIA"
"BEL","AFG",1,2,2,1,1,1,3,0,"ASIA"
"AUS","AFG",1,1,1,1,3,1,91,0,"ASIA"
"AUS","AFG",1,2,2,99,99,2,48,0,"ASIA"
"AUS","AFG",1,99,99,1,3,2,46,0,"ASIA"
"DNK","AFG",1,2,2,3,5,1,67,0,"ASIA"
"NOR","AFG",1,1,1,1,2,2,40,0,"ASIA"
"AUS","AFG",1,2,2,1,3,1,105,0,"ASIA"
"DNK","AFG",1,1,1,1,2,2,154,0,"ASIA"
"CAN","AFG",1,2,2,1,2,2,895,0,"ASIA"
"DNK","AFG",1,99,99,3,6,2,19,0,"ASIA"
"SWE","AFG",1,3,4,2,4,1,5,0,"ASIA"
"CHE","AFG",1,1,1,1,3,2,236,0,"ASIA"
"CAN","AFG",1,2,2,1,3,1,525,0,"ASIA"
"NZL","AFG",1,2,2,2,4,2,15,0,"ASIA"
"NZL","AFG",1,3,3,1,2,1,6,0,"ASIA"
"AUS","AFG",1,3,3,1,2,1,150,0,"ASIA"
"CAN","AFG",1,2,2,99,99,1,95,0,"ASIA"
"CAN","AFG",1,2,2,1,3,2,475,0,"ASIA"
"CHE","AFG",1,1,1,3,5,2,159,0,"ASIA"
"BEL","AFG",1,99,99,3,6,1,1,0,"ASIA"
"AUS","AFG",1,3,3,1,1,2,26,0,"ASIA"
"NOR","AFG",1,99,99,1,2,2,292,0,"ASIA"
"FRA","AFG",1,1,1,99,99,1,30,0,"ASIA"
"BEL","AFG",1,3,3,1,1,1,2,0,"ASIA"
"FRA","AFG",1,3,34,1,3,2,20,0,"ASIA"
"SWE","AFG",1,2,2,2,4,2,220,0,"ASIA"
"USA","AFG",1,2,2,2,4,2,1685,0,"ASIA"
"CHE","AFG",1,2,2,3,5,2,65,0,"ASIA"
"USA","AFG",1,2,2,1,2,2,505,0,"ASIA"
"NOR","AFG",1,3,3,2,4,2,10,0,"ASIA"
"FRA","AFG",1,3,34,99,99,2,56,0,"ASIA"
"AUS","AFG",1,99,99,1,3,1,32,0,"ASIA"
"IRL","AFG",1,99,99,99,99,1,3,0,"ASIA"
"FRA","AFG",1,3,34,1,2,2,28,0,"ASIA"
"SWE","AFG",1,1,1,1,1,2,25,0,"ASIA"
"USA","AFG",1,3,4,1,3,1,10,0,"ASIA"
"CAN","AFG",1,1,1,99,99,2,170,0,"ASIA"
"CAN","AFG",1,3,3,2,4,2,410,0,"ASIA"
"IRL","AFG",1,3,3,99,99,1,6,0,"ASIA"
"USA","AFG",1,2,2,1,2,1,380,0,"ASIA"
"USA","AFG",1,2,2,1,3,1,310,0,"ASIA"
"SWE","AFG",1,3,3,1,3,1,145,0,"ASIA"
"CAN","AFG",1,2,2,2,4,1,880,0,"ASIA"
"DNK","AFG",1,3,3,3,5,2,22,0,"ASIA"
"USA","AFG",1,2,2,3,6,1,1040,0,"ASIA"
"ITA","AFG",1,1,1,3,5,1,9,0,"ASIA"
"ITA","AFG",1,3,3,3,6,1,3,0,"ASIA"
"CAN","AFG",1,3,4,2,4,1,25,0,"ASIA"
"ITA","AFG",1,1,1,99,99,1,12,0,"ASIA"
"DNK","AFG",1,3,3,3,6,1,22,0,"ASIA"
"BEL","AFG",1,99,99,3,5,2,2,0,"ASIA"
"CHE","AFG",1,3,3,3,5,2,86,0,"ASIA"
"SWE","AFG",1,1,1,1,2,2,140,0,"ASIA"
"BEL","AFG",1,1,1,3,5,1,28,0,"ASIA"
"NZL","AFG",1,3,4,1,1,1,3,0,"ASIA"
"CHE","AFG",1,3,3,99,99,2,109,0,"ASIA"
"AUS","AFG",1,99,99,3,5,2,74,0,"ASIA"
"NZL","AFG",1,3,3,2,4,1,6,0,"ASIA"
"ITA","AFG",1,1,1,1,1,2,2,0,"ASIA"
"CAN","AFG",1,3,3,3,5,2,570,0,"ASIA"
"NZL","AFG",1,99,99,99,99,1,6,0,"ASIA"
"DNK","AFG",1,3,3,1,3,1,101,0,"ASIA"
"AUS","AFG",1,3,3,3,6,2,17,0,"ASIA"
"BEL","AFG",1,2,2,3,5,2,7,0,"ASIA"
"USA","AFG",1,3,3,2,4,2,815,0,"ASIA"
"ITA","AFG",1,3,4,99,99,1,3,0,"ASIA"
"CAN","AFG",1,3,3,1,1,2,75,0,"ASIA"
"BEL","AFG",1,1,1,1,3,1,36,0,"ASIA"
"CAN","AFG",1,3,3,1,2,1,615,0,"ASIA"
"AUS","AFG",1,99,99,1,2,1,137,0,"ASIA"
"USA","AFG",1,2,2,1,1,1,270,0,"ASIA"
"GRC","AFG",1,3,3,1,1,1,7,0,"ASIA"
"CAN","AFG",1,3,4,99,99,1,10,0,"ASIA"
"ITA","AFG",1,2,2,1,2,1,20,0,"ASIA"
"NZL","AFG",1,99,99,3,5,1,6,0,"ASIA"
"NZL","AFG",1,2,2,1,2,2,21,0,"ASIA"
"BEL","AFG",1,1,1,2,4,2,33,0,"ASIA"
"CAN","AFG",1,1,1,1,2,2,1135,0,"ASIA"
"NZL","AFG",1,3,3,1,1,1,3,0,"ASIA"
"CAN","AFG",1,3,3,1,2,2,425,0,"ASIA"
"FRA","AFG",1,1,1,1,1,1,4,0,"ASIA"
"CAN","AFG",1,3,3,2,4,1,620,0,"ASIA"
"SWE","AFG",1,3,3,1,2,1,150,0,"ASIA"
"GRC","AFG",1,2,2,1,3,1,1,0,"ASIA"
"ITA","AFG",1,3,4,3,6,1,3,0,"ASIA"
"NZL","AFG",1,2,2,1,2,1,48,0,"ASIA"
"NZL","AFG",1,3,4,1,2,1,6,0,"ASIA"
"SWE","AFG",1,3,3,2,4,2,105,0,"ASIA"
"FRA","AFG",1,3,34,1,1,1,40,0,"ASIA"
"AUS","AFG",1,1,1,99,99,2,48,0,"ASIA"
"FRA","AFG",1,2,2,99,99,2,36,0,"ASIA"
"FRA","AFG",1,2,2,3,6,2,20,0,"ASIA"
"NOR","AFG",1,3,3,1,2,1,3,0,"ASIA"
"NOR","AFG",1,2,2,1,2,2,46,0,"ASIA"
"NZL","AFG",1,99,99,3,5,2,3,0,"ASIA"
"CAN","AFG",1,3,3,99,99,1,100,0,"ASIA"
"FRA","AFG",1,1,1,1,2,2,9,0,"ASIA"
"SWE","AFG",1,2,2,3,5,1,240,0,"ASIA"
"CAN","AFG",1,3,3,99,99,2,45,0,"ASIA"
"ITA","AFG",1,1,1,2,4,1,4,0,"ASIA"
"AUS","AFG",1,2,2,3,5,2,350,0,"ASIA"
"AUS","AFG",1,3,3,1,3,1,68,0,"ASIA"
"SWE","AFG",1,1,1,3,5,2,105,0,"ASIA"
"GRC","AFG",1,1,1,1,3,1,3,0,"ASIA"
"SWE","AFG",1,1,1,3,6,1,5,0,"ASIA"
"NOR","AFG",1,1,1,2,4,2,12,0,"ASIA"
"AUS","AFG",1,99,99,99,99,1,915,0,"ASIA"
"FRA","AFG",1,3,34,3,5,1,307,0,"ASIA"
"DNK","AFG",1,2,2,1,3,1,62,0,"ASIA"
"BEL","AFG",1,2,2,2,4,1,25,0,"ASIA"
"GRC","AFG",1,99,99,2,4,1,3,0,"ASIA"
"CAN","AFG",1,3,4,1,1,1,10,0,"ASIA"
"AUS","AFG",1,99,99,2,4,2,127,0,"ASIA"
"IRL","AFG",1,2,2,99,99,1,6,0,"ASIA"
"DNK","AFG",1,99,99,1,3,1,35,0,"ASIA"
"DNK","AFG",1,99,99,2,4,1,56,0,"ASIA"
"BEL","AFG",1,2,2,1,2,2,3,0,"ASIA"
"CAN","AFG",1,3,3,1,3,2,380,0,"ASIA"
"ITA","AFG",1,3,3,99,99,1,9,0,"ASIA"
"CAN","AFG",1,3,3,1,1,1,105,0,"ASIA"
"ITA","AFG",1,3,3,99,99,2,7,0,"ASIA"
"DNK","AFG",1,1,1,3,5,2,57,0,"ASIA"
"SWE","AFG",1,3,4,1,1,1,5,0,"ASIA"
"NZL","AFG",1,1,1,3,5,2,6,0,"ASIA"
"USA","AFG",1,1,1,1,1,1,195,0,"ASIA"
"AUS","AFG",1,3,3,2,4,1,304,0,"ASIA"
"USA","AFG",1,3,4,3,6,2,14,0,"ASIA"
"ITA","AFG",1,3,3,1,2,2,1,0,"ASIA"
"AUS","AFG",1,99,99,2,4,1,113,0,"ASIA"
"GRC","AFG",1,3,3,1,2,1,3,0,"ASIA"
"DNK","AFG",1,3,4,3,5,1,1,0,"ASIA"
"AUS","AFG",1,3,3,1,1,1,62,0,"ASIA"
"BEL","AFG",1,99,99,1,3,2,11,0,"ASIA"
"GRC","AFG",1,3,3,99,99,1,4,0,"ASIA"
"NZL","AFG",1,99,99,3,6,1,3,0,"ASIA"
"AUS","AFG",1,99,99,3,5,1,91,0,"ASIA"
"DNK","AFG",1,3,3,1,2,2,47,0,"ASIA"
"CHE","AFG",1,3,3,1,2,1,82,0,"ASIA"
"ITA","AFG",1,1,1,1,1,1,29,0,"ASIA"
"AUS","AFG",1,1,1,3,5,1,159,0,"ASIA"
"AUS","AFG",1,3,3,3,5,2,182,0,"ASIA"
"NZL","AFG",1,3,3,1,2,2,6,0,"ASIA"
"IRL","AFG",1,99,99,1,2,2,3,0,"ASIA"
"GRC","AFG",1,99,99,1,2,1,1,0,"ASIA"
"ITA","AFG",1,2,2,3,6,2,3,0,"ASIA"
"NZL","AFG",1,1,1,1,2,1,21,0,"ASIA"
"CHE","AFG",1,1,1,3,6,2,60,0,"ASIA"
"BEL","AFG",1,3,3,2,4,2,14,0,"ASIA"
"SWE","AFG",1,99,99,1,3,1,85,0,"ASIA"
"IRL","AFG",1,2,2,2,4,2,3,0,"ASIA"
"IRL","AFG",1,3,3,1,1,1,3,0,"ASIA"
"ITA","AFG",1,1,1,3,5,2,1,0,"ASIA"
"USA","AFG",1,1,1,3,5,2,3315,0,"ASIA"
"FRA","AFG",1,2,2,1,1,1,24,0,"ASIA"
"GRC","AFG",1,3,3,1,1,2,2,0,"ASIA"
"GRC","AFG",1,2,2,2,4,2,3,0,"ASIA"
"AUS","AFG",1,1,1,1,3,2,144,0,"ASIA"
"USA","AFG",1,1,1,2,4,1,950,0,"ASIA"
"CAN","AFG",1,2,2,3,5,1,1030,0,"ASIA"
"USA","AFG",1,2,2,3,5,1,5495,0,"ASIA"
"AUS","AFG",1,1,1,99,99,1,84,0,"ASIA"
"FRA","AFG",1,2,2,3,5,2,137,0,"ASIA"
