country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"CHE","AFG",1,1,1,1,1,110,0,"ASIA"
"NOR","AFG",1,2,2,1,2,58,0,"ASIA"
"CAN","AFG",1,3,3,2,2,220,0,"ASIA"
"NZL","AFG",1,1,1,3,2,57,0,"ASIA"
"TUR","AFG",1,99,99,1,2,129,0,"ASIA"
"MEX","AFG",1,1,1,1,1,1,0,"ASIA"
"MEX","AFG",1,2,2,1,1,2,0,"ASIA"
"ITA","AFG",1,3,3,3,2,3,0,"ASIA"
"FIN","AFG",1,3,3,2,2,5,0,"ASIA"
"CAN","AFG",1,3,4,1,1,60,0,"ASIA"
"USA","AFG",1,1,1,2,2,185,0,"ASIA"
"NOR","AFG",1,1,1,2,1,7,0,"ASIA"
"CHE","AFG",1,3,4,2,1,50,0,"ASIA"
"GRC","AFG",1,2,2,3,2,5,0,"ASIA"
"GRC","AFG",1,3,3,1,1,10,0,"ASIA"
"DNK","AFG",1,99,99,2,1,8,0,"ASIA"
"TUR","AFG",1,3,4,3,2,2,0,"ASIA"
"AUS","AFG",1,1,1,2,1,378,0,"ASIA"
"NZL","AFG",1,3,4,2,1,9,0,"ASIA"
"ITA","AFG",1,2,2,2,2,1,0,"ASIA"
"TUR","AFG",1,1,1,3,2,1460,0,"ASIA"
"SVK","AFG",1,3,3,2,2,1,0,"ASIA"
"NZL","AFG",1,2,2,2,2,9,0,"ASIA"
"CHE","AFG",1,1,1,3,1,64,0,"ASIA"
"CHE","AFG",1,3,4,2,2,24,0,"ASIA"
"GBR","AFG",1,1,1,1,1,882,0,"ASIA"
"CHE","AFG",1,99,99,2,2,36,0,"ASIA"
"GBR","AFG",1,3,34,2,1,316,0,"ASIA"
"USA","AFG",1,2,2,2,2,295,0,"ASIA"
"TUR","AFG",1,1,1,1,1,2289,0,"ASIA"
"NZL","AFG",1,3,3,1,1,15,0,"ASIA"
"USA","AFG",1,3,3,2,1,330,0,"ASIA"
"DNK","AFG",1,2,2,1,2,64,0,"ASIA"
"BEL","AFG",1,3,3,1,2,14,0,"ASIA"
"USA","AFG",1,3,3,3,2,1925,0,"ASIA"
"HUN","AFG",1,3,34,3,1,11,0,"ASIA"
"DNK","AFG",1,99,99,2,2,10,0,"ASIA"
"BEL","AFG",1,3,3,99,2,1,0,"ASIA"
"USA","AFG",1,1,1,1,2,1175,0,"ASIA"
"TUR","AFG",1,3,3,3,2,33,0,"ASIA"
"NZL","AFG",1,1,1,2,2,3,0,"ASIA"
"GBR","AFG",1,99,99,2,2,8,0,"ASIA"
"GRC","AFG",1,3,4,1,2,1,0,"ASIA"
"DNK","AFG",1,1,1,2,2,11,0,"ASIA"
"BEL","AFG",1,99,99,3,1,18,0,"ASIA"
"AUS","AFG",1,1,1,1,2,136,0,"ASIA"
"GRC","AFG",1,1,1,3,1,59,0,"ASIA"
"NOR","AFG",1,3,4,1,1,4,0,"ASIA"
"SWE","AFG",1,2,2,1,2,160,0,"ASIA"
"FIN","AFG",1,2,2,1,2,5,0,"ASIA"
